S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
490,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2720000,-,1464,Strata,16 to 20,1858,1/5/22
491,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2069000,-,1087,Strata,16 to 20,1903,1/5/22
492,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1688888,-,764,Strata,11 to 15,2210,1/5/22
493,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1902913,-,1076,Strata,01 to 05,1768,1/5/22
494,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2965000,-,1690,Strata,31 to 35,1754,1/5/22
495,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2883000,-,1690,Strata,21 to 25,1706,1/5/22
496,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2554010,-,818,Strata,31 to 35,3122,1/5/22
497,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2030000,-,1076,Strata,11 to 15,1886,1/5/22
498,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1688888,-,764,Strata,06 to 10,2210,1/5/22
499,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2863000,-,1496,Strata,01 to 05,1914,1/5/22
500,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3462000,-,1249,Strata,21 to 25,2773,1/5/22
501,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1998000,-,1076,Strata,01 to 05,1856,1/5/22
502,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2083000,-,1087,Strata,21 to 25,1916,1/5/22
503,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2805000,-,1690,Strata,16 to 20,1660,1/5/22
504,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1259000,-,527,Strata,51 to 55,2387,1/5/22
505,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2675000,-,1464,Strata,11 to 15,1827,1/5/22
506,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1660000,-,904,Strata,11 to 15,1836,1/5/22
507,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2011000,-,1076,Strata,06 to 10,1868,1/5/22
508,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1263000,-,527,Strata,51 to 55,2395,1/5/22
509,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1818000,-,753,Strata,16 to 20,2413,1/5/22
510,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1710000,-,732,Strata,06 to 10,2336,1/5/22
511,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3057000,-,1496,Strata,11 to 15,2043,1/5/22
512,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2388000,-,840,Strata,21 to 25,2844,1/5/22
513,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1613000,-,850,Strata,01 to 05,1897,1/5/22
514,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3478000,-,1216,Strata,11 to 15,2859,1/5/22
515,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3418000,-,1496,Strata,51 to 55,2284,1/5/22
516,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1600000,-,743,Strata,01 to 05,2154,1/5/22
517,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,6246000,-,2002,Strata,26 to 30,3120,1/5/22
518,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1645000,-,850,Strata,11 to 15,1934,1/5/22
519,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1661000,-,850,Strata,16 to 20,1953,1/5/22
520,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1256000,-,527,Strata,51 to 55,2381,1/5/22
521,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1705000,-,657,Strata,51 to 55,2597,1/5/22
522,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1746100,-,753,Strata,11 to 15,2317,1/5/22
523,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1656000,-,850,Strata,16 to 20,1947,1/5/22
524,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2976000,-,1152,Strata,21 to 25,2584,1/5/22
525,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1698000,-,657,Strata,51 to 55,2586,1/5/22
526,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3088000,-,1141,Strata,16 to 20,2706,1/5/22
527,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2266000,-,818,Strata,21 to 25,2770,1/5/22
528,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1722000,-,657,Strata,56 to 60,2623,1/5/22
529,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,2170000,-,893,Strata,01 to 05,2429,1/5/22
530,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1692000,-,657,Strata,46 to 50,2577,1/5/22
531,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3066000,3057112,1141,Strata,16 to 20,2679,1/5/22
532,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3113000,-,1496,Strata,21 to 25,2081,1/5/22
533,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2280000,-,1076,Strata,01 to 05,2118,1/5/22
534,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1225000,-,431,Strata,26 to 30,2845,1/5/22
535,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2090000,-,1087,Strata,21 to 25,1922,1/5/22
536,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1253000,-,527,Strata,51 to 55,2376,1/5/22
537,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2083000,-,1087,Strata,21 to 25,1916,1/5/22
538,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2017000,-,1076,Strata,06 to 10,1874,1/5/22
539,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1586000,-,657,Strata,56 to 60,2415,1/5/22
540,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1243000,-,527,Strata,46 to 50,2357,1/5/22
541,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2457000,-,1335,Strata,01 to 05,1841,1/5/22
542,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2056000,-,1076,Strata,21 to 25,1910,1/5/22
543,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2024000,1963280,1076,Strata,11 to 15,1824,1/5/22
544,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,6123000,-,2002,Strata,21 to 25,3058,1/5/22
545,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1728888,-,764,Strata,11 to 15,2262,1/5/22
546,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2911000,-,1496,Strata,06 to 10,1946,1/5/22
547,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2032000,-,840,Strata,16 to 20,2420,1/5/22
548,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2375000,-,1313,Strata,01 to 05,1809,1/5/22
549,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2077000,-,1087,Strata,16 to 20,1910,1/5/22
550,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1642000,-,850,Strata,11 to 15,1931,1/5/22
551,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2950000,-,1690,Strata,31 to 35,1746,1/5/22
552,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2053000,-,1076,Strata,16 to 20,1907,1/5/22
553,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1581000,-,657,Strata,51 to 55,2408,1/5/22
554,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3314000,-,1496,Strata,36 to 40,2215,1/5/22
555,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3282000,-,1216,Strata,06 to 10,2698,1/5/22
556,SKY EVERTON,EVERTON ROAD,Apartment,2,RCR,Freehold,New Sale,1,3896000,-,1346,Strata,31 to 35,2896,1/5/22
557,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2366888,-,1076,Strata,01 to 05,2199,1/5/22
558,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2042000,-,1076,Strata,16 to 20,1897,1/5/22
559,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1236000,-,431,Strata,26 to 30,2871,1/5/22
560,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1300000,-,527,Strata,41 to 45,2465,1/5/22
561,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3028000,-,1141,Strata,11 to 15,2654,1/5/22
562,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3042000,-,1249,Strata,01 to 05,2436,1/5/22
563,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2438000,-,1313,Strata,01 to 05,1857,1/5/22
564,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1230000,-,431,Strata,26 to 30,2857,1/5/22
565,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3121000,-,1496,Strata,21 to 25,2086,1/5/22
566,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1728888,-,764,Strata,16 to 20,2262,1/5/22
567,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1716000,-,732,Strata,11 to 15,2344,1/5/22
568,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1709000,-,657,Strata,51 to 55,2603,1/5/22
569,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,6000000,-,2002,Strata,21 to 25,2997,1/5/22
570,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2037000,-,1076,Strata,16 to 20,1892,1/5/22
571,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1618000,-,560,Strata,31 to 35,2891,1/4/22
572,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2962000,-,1216,Strata,26 to 30,2435,1/4/22
573,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2053000,-,893,Strata,21 to 25,2298,1/4/22
574,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1294000,-,527,Strata,41 to 45,2453,1/4/22
575,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2318000,-,818,Strata,21 to 25,2834,1/4/22
576,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1781000,-,883,Strata,01 to 05,2018,1/4/22
577,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2090000,-,1087,Strata,21 to 25,1922,1/4/22
578,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2039000,-,893,Strata,21 to 25,2282,1/4/22
579,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1546000,-,570,Strata,31 to 35,2710,1/4/22
580,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4370000,-,1507,Strata,16 to 20,2900,1/4/22
581,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2988000,-,1173,Strata,16 to 20,2547,1/4/22
582,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3017000,-,1216,Strata,31 to 35,2480,1/4/22
583,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3356000,-,1927,Strata,21 to 25,1742,1/4/22
584,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1536000,-,570,Strata,31 to 35,2692,1/4/22
585,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1651000,-,850,Strata,11 to 15,1942,1/4/22
586,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3018000,-,1173,Strata,16 to 20,2572,1/4/22
587,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2440000,-,1313,Strata,16 to 20,1858,1/4/22
588,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2053000,-,1087,Strata,11 to 15,1888,1/4/22
589,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1871313,-,958,Strata,01 to 05,1953,1/4/22
590,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2058000,-,1087,Strata,16 to 20,1893,1/4/22
591,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4300000,-,1711,Strata,01 to 05,2512,1/4/22
592,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2031000,-,1098,Strata,01 to 05,1850,1/4/22
593,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2307000,-,818,Strata,21 to 25,2820,1/4/22
594,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1531000,-,570,Strata,31 to 35,2684,1/4/22
595,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3145000,-,1496,Strata,26 to 30,2102,1/4/22
596,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2499000,-,818,Strata,26 to 30,3055,1/4/22
597,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2001000,-,1076,Strata,01 to 05,1859,1/4/22
598,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2685000,-,1184,Strata,06 to 10,2268,1/4/22
599,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2044000,-,1098,Strata,01 to 05,1862,1/4/22
600,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2461000,-,1335,Strata,01 to 05,1844,1/4/22
601,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2034000,-,1098,Strata,01 to 05,1853,1/4/22
602,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2957000,-,1173,Strata,11 to 15,2520,1/4/22
603,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1670000,-,850,Strata,21 to 25,1964,1/4/22
604,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1214000,-,431,Strata,26 to 30,2820,1/4/22
605,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2280000,-,1076,Strata,01 to 05,2118,1/4/22
606,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1672000,-,850,Strata,21 to 25,1966,1/4/22
607,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1666000,-,850,Strata,21 to 25,1959,1/4/22
608,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2048000,-,1076,Strata,16 to 20,1903,1/4/22
609,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2880000,-,1141,Strata,01 to 05,2524,1/4/22
610,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,3220000,-,1249,Strata,01 to 05,2579,1/4/22
611,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2734360,-,1690,Strata,11 to 15,1618,1/4/22
612,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1586000,-,657,Strata,56 to 60,2415,1/4/22
613,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1972000,-,840,Strata,11 to 15,2349,1/4/22
614,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2454000,-,1313,Strata,21 to 25,1869,1/4/22
615,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2042000,-,1087,Strata,06 to 10,1878,1/4/22
616,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2663000,-,1216,Strata,01 to 05,2189,1/4/22
617,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2708000,-,1184,Strata,06 to 10,2287,1/4/22
618,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1759000,-,980,Strata,21 to 25,1796,1/4/22
619,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1610000,-,560,Strata,21 to 25,2876,1/4/22
620,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3660000,-,1432,Strata,26 to 30,2557,1/4/22
621,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,3258000,-,1249,Strata,06 to 10,2609,1/4/22
622,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,6008000,-,2002,Strata,21 to 25,3001,1/4/22
623,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1639000,-,850,Strata,11 to 15,1927,1/4/22
624,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1619000,-,850,Strata,01 to 05,1904,1/4/22
625,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,5400000,-,2002,Strata,06 to 10,2697,1/4/22
626,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2484480,-,1141,Strata,01 to 05,2177,1/4/22
627,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2105000,-,807,Strata,36 to 40,2607,1/4/22
628,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2421000,-,1313,Strata,11 to 15,1844,1/4/22
629,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1752000,-,969,Strata,06 to 10,1808,1/4/22
630,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1879000,-,700,Strata,26 to 30,2686,1/4/22
631,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2688000,-,1582,Strata,21 to 25,1699,1/4/22
632,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3346000,-,1496,Strata,41 to 45,2236,1/4/22
633,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1202000,-,431,Strata,26 to 30,2792,1/4/22
634,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2086000,-,1087,Strata,21 to 25,1919,1/4/22
635,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1267000,-,527,Strata,31 to 35,2402,1/4/22
636,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1639000,-,657,Strata,41 to 45,2496,1/4/22
637,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2021000,-,1076,Strata,11 to 15,1878,1/4/22
638,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2077000,-,807,Strata,31 to 35,2573,1/4/22
639,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3314000,-,1496,Strata,36 to 40,2215,1/4/22
640,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2830000,-,1195,Strata,06 to 10,2369,1/4/22
641,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2444000,-,1313,Strata,11 to 15,1861,1/4/22
642,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3193000,-,1496,Strata,31 to 35,2134,1/4/22
643,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1720000,-,657,Strata,51 to 55,2620,1/4/22
644,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2432000,-,1313,Strata,16 to 20,1852,1/4/22
645,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2381000,-,1313,Strata,06 to 10,1813,1/4/22
646,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3057000,-,1496,Strata,11 to 15,2043,1/4/22
647,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3121000,-,1496,Strata,21 to 25,2086,1/4/22
648,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1210000,-,431,Strata,26 to 30,2810,1/4/22
649,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1629000,-,850,Strata,06 to 10,1916,1/4/22
650,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,1979000,-,1066,Strata,01 to 05,1857,1/4/22
651,NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 yrs lease commencing from 2019,New Sale,1,2436000,-,1313,Strata,16 to 20,1855,1/4/22
652,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1704000,-,657,Strata,51 to 55,2595,1/4/22
653,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3732000,-,1432,Strata,31 to 35,2607,1/4/22
